ID_CLIENTE,ANTIGUEDAD_MESES,TIPO_TARJETA,LINEA_CREDITO,RNG_LINEA,DEUDA_TARJETA,SEGMENTO_BANCO,AMBITO,ZONA,EDAD,SEXO,ECIVIL,Total_facturacion,Num_compras
C0000337,R4. [24-MAS>,CLASICA,1500,2000,1295.94,SEGMENTO PLATA,L,CENTRO,,M,SOLTERO,1491.52,5
C0000340,R4. [24-MAS>,ORO,5620,6000,0,SEGMENTO ORO,L,CENTRO,,M,DIVORCIADO,516.13,4
C0000343,R4. [24-MAS>,CLASICA,2400,4000,2293.93,SEGMENTO PLATA,L,MODERNA,,M,CASADO,280.35,5
C0000349,R4. [24-MAS>,CLASICA,2250,4000,2076.14,SEGMENTO PLATA,L,CENTRO,35,F,SOLTERO,4466.27,12
C0000350,R4. [24-MAS>,CLASICA,6000,6000,1835.31,SEGMENTO BRONCE,L,NORTE,35,M,SOLTERO,6456.79,10
C0000354,R4. [24-MAS>,CLASICA,12000,12000,2196.76,SEGMENTO PLATA,L,CENTRO,48,M,CASADO,2761.04,4
C0000357,R4. [24-MAS>,CLASICA,2500,4000,2255.49,SEGMENTO PLATA,L,CENTRO,,M,CASADO,384,9
C0000359,R4. [24-MAS>,ORO,4000,4000,3720.11,SEGMENTO PLATA,L,MODERNA,29,F,SOLTERO,907.07,11
C0000360,R4. [24-MAS>,CLASICA,1000,2000,606.73,SEGMENTO PLATA,L,CENTRO,29,F,SOLTERO,4956.36,24
C0000361,R4. [24-MAS>,ORO,5250,6000,0,SEGMENTO PLATA,L,CENTRO,41,M,SOLTERO,132.03,1
C0000362,R4. [24-MAS>,ORO,5000,6000,1945.75,SEGMENTO ORO,L,CALLAO,45,M,SOLTERO,456.96,1
C0000364,R4. [24-MAS>,PLATINUM,12000,12000,11917.64,SEGMENTO PLATA,L,MODERNA,59,F,SOLTERO,3635.16,21
C0000368,R3. [12-24 M>,CLASICA,2600,4000,654.59,SEGMENTO BRONCE,L,CENTRO,60,F,DIVORCIADO,155,1
C0000370,R3. [12-24 M>,ORO,3000,4000,0,SEGMENTO PLATA,L,CENTRO,,M,DIVORCIADO,2827.95,4
C0000371,R3. [12-24 M>,CLASICA,800,2000,282.42,SEGMENTO BRONCE,L,MODERNA,30,M,SOLTERO,327,1
C0000373,R3. [12-24 M>,ORO,4000,4000,3984.25,SEGMENTO PLATA,L,SUR,31,M,CASADO,8226.3,16
C0000376,R2. [6-12 M>,CLASICA,2000,2000,1857.2,SEGMENTO BRONCE,L,CALLAO,33,M,SOLTERO,2160.34,9
C0000377,R2. [6-12 M>,CLASICA,1133,2000,1154.81,SEGMENTO BRONCE,L,CENTRO,29,M,SOLTERO,901.72,18
C0000378,R2. [6-12 M>,ORO,4500,6000,2478.15,SEGMENTO PLATA,L,CALLAO,28,F,SOLTERO,4170.13,19
C0000381,R4. [24-MAS>,CLASICA,3600,4000,3479.89,SEGMENTO PLATA,L,MODERNA,36,F,CASADO,3276.48,5
C0000383,R4. [24-MAS>,CLASICA,6700,8000,338.17,SEGMENTO PLATA,L,MODERNA,,F,SOLTERO,1014.51,2
C0000384,R4. [24-MAS>,CLASICA,13500,14000,2860.87,SEGMENTO PLATA,L,MODERNA,,M,CASADO,4692.45,24
C0000386,R4. [24-MAS>,ORO,4000,4000,1178.24,SEGMENTO PLATA,L,MODERNA,,F,SOLTERO,3534.72,3
C0000387,R4. [24-MAS>,CLASICA,15000,16000,3615.74,SEGMENTO ORO,L,ESTE,,M,SOLTERO,3964.5,12
C0000388,R4. [24-MAS>,ORO,9300,10000,0,SEGMENTO ORO,L,MODERNA,67,M,CASADO,3399.66,6
C0000389,R4. [24-MAS>,CLASICA,5400,6000,3425.29,SEGMENTO PLATA,L,MODERNA,42,F,SOLTERO,3803.18,3
C0000390,R4. [24-MAS>,CLASICA,24350,26000,3982.16,SEGMENTO ORO,L,MODERNA,49,M,CASADO,4344.54,14
C0000391,R4. [24-MAS>,CLASICA,4500,6000,4696.95,SEGMENTO ORO,L,MODERNA,38,F,CASADO,1299.33,8
